Hotel,Customer Country,Customer ID,Booking_ID,Booking Date,Lead Time,Arrival Date,Weekend Nights,Week Nights,Adults,Children,is_canceled,Meal,Market Segment,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,Customer Cancel Count,adr,required_car_parking_spaces,total_of_special_requests,reservation_status
Resort Hotel - Chandigarh,France,CUST_076,INN00151,29-Oct-23,97,3-Feb-24,2,5,2,2,0,HB,Direct,0,0,0,C,C,1,1,164.2,1,1,Check-Out
Resort Hotel - Chennai,UAE,CUST_597,INN00152,4-Jul-24,29,2-Aug-24,2,5,2,0,0,BB,Online TA,0,0,0,F,F,0,0,97.29,0,1,Check-Out
Resort Hotel - Pune,India,CUST_370,INN00153,27-Jul-24,101,5-Nov-24,2,5,2,0,1,HB,Online TA,0,0,0,A,A,0,0,114,0,1,Canceled
Resort Hotel - Bangalore,UK,CUST_304,INN00154,24-Nov-24,27,21-Dec-24,2,5,2,0,0,BB,Offline TA/TO,0,0,0,E,E,0,0,98.4,0,0,Check-Out
Resort Hotel - Delhi,India,CUST_421,INN00155,12-Aug-24,8,20-Aug-24,4,5,2,2,0,BB,Online TA,0,0,0,H,H,1,1,175,1,1,Check-Out
Resort Hotel - Kochi,France,CUST_146,INN00156,1-May-24,82,22-Jul-24,4,6,2,0,0,BB,Offline TA/TO,0,0,0,D,D,0,0,63.6,1,2,Check-Out
Resort Hotel - Delhi,India,CUST_131,INN00157,13-Oct-23,94,15-Jan-24,4,6,3,0,0,BB,Direct,0,0,0,D,C,3,2,124.45,1,1,Check-Out
Resort Hotel - Lucknow,India,CUST_322,INN00158,17-Oct-23,110,4-Feb-24,4,7,2,0,0,BB,Offline TA/TO,0,0,0,D,D,0,0,110.7,0,0,Check-Out
Resort Hotel - Kochi,USA,CUST_473,INN00159,30-Sep-23,96,4-Jan-24,4,10,1,0,0,HB,Offline TA/TO,0,0,0,A,A,0,0,74.07,0,0,Check-Out
Resort Hotel - Chennai,UK,CUST_064,INN00160,25-Sep-24,79,13-Dec-24,4,10,2,0,0,HB,Offline TA/TO,0,0,0,D,D,0,0,134.1,0,0,Check-Out
Resort Hotel - Indore,India,CUST_022,INN00161,18-Dec-23,115,11-Apr-24,1,4,2,2,0,BB,Online TA,0,0,0,G,G,1,2,167,0,0,Check-Out
Resort Hotel - Bangalore,Germany,CUST_595,INN00162,14-Mar-24,111,3-Jul-24,1,3,2,0,0,BB,Online TA,0,0,0,A,C,0,1,123,0,2,Check-Out
Resort Hotel - Mumbai,India,CUST_572,INN00163,9-Mar-24,51,29-Apr-24,1,3,2,0,0,BB,Online TA,0,0,0,G,G,0,2,117.81,1,2,Check-Out
Resort Hotel - Kochi,USA,CUST_083,INN00164,2-Oct-23,94,4-Jan-24,1,3,3,0,0,BB,Offline TA/TO,0,0,0,D,D,0,1,171.32,0,1,Check-Out
Resort Hotel - Hyderabad,India,CUST_281,INN00165,26-Nov-23,81,15-Feb-24,1,3,2,2,0,HB,Direct,0,0,0,G,G,0,0,210,1,0,Check-Out
Resort Hotel - Kolkata,Canada,CUST_439,INN00166,8-May-24,84,31-Jul-24,1,3,2,1,0,BB,Online TA,0,0,0,D,E,1,2,97,0,2,Check-Out
Resort Hotel - Jaipur,UK,CUST_364,INN00167,20-Feb-24,51,11-Apr-24,1,3,3,0,0,BB,Online TA,0,0,0,G,G,0,1,117.81,0,2,Check-Out
Resort Hotel - Kochi,India,CUST_172,INN00168,4-Jul-24,111,23-Oct-24,0,0,2,0,0,BB,Online TA,0,0,0,A,H,0,0,0,0,2,Check-Out
Resort Hotel - Goa,India,CUST_001,INN00169,5-Oct-24,0,5-Oct-24,0,0,1,0,0,BB,Direct,0,0,0,E,H,0,1,0,0,0,Check-Out
Resort Hotel - Kochi,Canada,CUST_579,INN00170,7-Oct-24,2,9-Oct-24,1,0,2,1,0,BB,Direct,0,0,0,A,E,0,1,131,0,0,Check-Out
Resort Hotel - Chandigarh,UAE,CUST_137,INN00171,16-Dec-24,7,23-Dec-24,1,1,2,0,0,BB,Online TA,0,0,0,A,E,0,3,98,0,2,Check-Out
Resort Hotel - Chennai,India,CUST_500,INN00172,5-Aug-24,98,11-Nov-24,1,1,2,0,0,BB,Online TA,0,0,0,D,F,0,1,87.3,1,1,Check-Out
Resort Hotel - Kochi,India,CUST_410,INN00173,16-Apr-24,95,20-Jul-24,1,2,2,0,0,BB,Online TA,0,0,0,D,D,0,1,97,0,1,Check-Out
Resort Hotel - Indore,UAE,CUST_207,INN00174,17-Oct-24,48,4-Dec-24,1,3,2,0,1,HB,Online TA,0,0,0,E,E,0,1,167,0,0,Canceled
Resort Hotel - Indore,UK,CUST_244,INN00175,27-Dec-23,66,2-Mar-24,1,3,2,0,0,HB,Offline TA/TO,0,0,0,A,E,0,0,91.5,0,0,Check-Out
Resort Hotel - Indore,Australia,CUST_328,INN00176,29-Oct-23,104,10-Feb-24,1,3,2,0,0,BB,Online TA,0,0,0,A,C,1,1,73.8,0,1,Check-Out
Resort Hotel - Lucknow,India,CUST_230,INN00177,22-Feb-24,28,21-Mar-24,1,4,2,0,0,BB,Online TA,0,0,0,E,E,0,0,123,0,0,Check-Out
Resort Hotel - Jaipur,Canada,CUST_599,INN00178,28-Aug-24,34,1-Oct-24,1,4,2,0,0,HB,Direct,0,0,0,F,F,0,2,175,1,0,Check-Out
Resort Hotel - Lucknow,France,CUST_246,INN00179,18-Jul-24,98,24-Oct-24,1,5,2,0,0,HB,Online TA,0,0,0,A,C,0,0,117.8,1,1,Check-Out
Resort Hotel - Kolkata,India,CUST_351,INN00180,6-Dec-23,104,19-Mar-24,1,5,2,0,0,BB,Online TA,0,0,0,E,E,1,0,117.63,0,0,Check-Out
Resort Hotel - Kochi,Canada,CUST_489,INN00181,11-Dec-23,68,17-Feb-24,2,5,2,2,0,HB,Online TA,0,0,0,G,G,0,1,185,0,0,Check-Out
Resort Hotel - Delhi,USA,CUST_373,INN00182,6-Dec-23,86,1-Mar-24,2,5,1,0,1,HB,Offline TA/TO,0,0,0,A,A,0,1,71,0,1,Canceled
Resort Hotel - Jaipur,Canada,CUST_349,INN00183,9-Jun-23,258,22-Feb-24,2,5,2,0,0,BB,Offline TA/TO,0,0,0,A,A,0,2,47.25,0,0,Check-Out
Resort Hotel - Bangalore,Canada,CUST_509,INN00184,2-Oct-23,111,21-Jan-24,3,5,2,0,0,HB,Online TA,0,0,0,A,C,0,0,151,0,1,Check-Out
Resort Hotel - Chandigarh,UAE,CUST_117,INN00185,17-Mar-24,94,19-Jun-24,3,7,2,0,1,BB,Online TA,0,0,0,D,D,0,1,87.3,0,0,Canceled
Resort Hotel - Hyderabad,Australia,CUST_008,INN00186,4-Mar-24,112,24-Jun-24,3,7,2,0,0,BB,Offline TA/TO,0,0,0,A,A,0,0,120.6,0,1,Check-Out
Resort Hotel - Hyderabad,USA,CUST_233,INN00187,29-Jun-24,100,7-Oct-24,3,7,2,0,0,BB,Offline TA/TO,0,0,0,D,D,1,0,63.86,0,1,Check-Out
Resort Hotel - Pune,UAE,CUST_577,INN00188,2-Feb-24,33,6-Mar-24,3,7,2,0,0,HB,Direct,0,0,0,F,F,5,1,157.1,0,1,Check-Out
Resort Hotel - Lucknow,Australia,CUST_518,INN00189,8-Jan-24,97,14-Apr-24,3,7,2,0,0,HB,Offline TA/TO,0,0,0,D,D,0,0,91.37,0,2,Check-Out
Resort Hotel - Ahmedabad,Australia,CUST_228,INN00190,25-Sep-24,80,14-Dec-24,3,8,1,0,0,BB,Direct,0,0,0,A,A,1,2,73,0,0,Check-Out
Resort Hotel - Kolkata,Canada,CUST_369,INN00191,15-Nov-23,90,13-Feb-24,4,10,2,0,0,BB,Offline TA/TO,0,0,0,D,D,0,2,110.7,0,0,Check-Out
Resort Hotel - Lucknow,UAE,CUST_517,INN00192,3-Mar-24,111,22-Jun-24,4,10,2,0,0,BB,Offline TA/TO,0,0,0,A,A,0,1,93.6,0,0,Check-Out
Resort Hotel - Chennai,USA,CUST_123,INN00193,1-Oct-24,65,5-Dec-24,2,5,2,0,0,BB,Offline TA/TO,0,0,0,D,D,0,0,83.5,0,0,Check-Out
Resort Hotel - Goa,Australia,CUST_338,INN00194,14-Apr-24,67,20-Jun-24,0,2,2,0,1,BB,Online TA,0,0,0,A,A,0,0,73.8,0,1,Canceled
Resort Hotel - Jaipur,Canada,CUST_449,INN00195,22-Jul-24,55,15-Sep-24,0,3,2,0,0,BB,Online TA,0,0,0,A,A,0,0,82,1,2,Check-Out
Resort Hotel - Chennai,Australia,CUST_598,INN00196,29-Nov-24,21,20-Dec-24,0,3,2,1,0,HB,Direct,0,0,0,F,F,0,1,185.5,0,1,Check-Out
Resort Hotel - Lucknow,India,CUST_430,INN00197,27-Jul-24,8,4-Aug-24,0,0,2,0,0,BB,Direct,0,0,0,A,A,0,0,0,0,1,Check-Out
Resort Hotel - Chandigarh,France,CUST_526,INN00198,25-Jun-24,8,3-Jul-24,0,0,2,0,0,BB,Online TA,0,0,0,A,E,0,2,0,0,1,Check-Out
Resort Hotel - Kolkata,Australia,CUST_198,INN00199,12-Sep-24,0,12-Sep-24,0,1,1,0,0,BB,Online TA,0,0,0,A,A,0,1,109.8,0,3,Check-Out
Resort Hotel - Kolkata,India,CUST_280,INN00200,21-Jun-24,0,21-Jun-24,0,1,3,0,0,HB,Direct,0,0,0,C,C,0,0,195,1,0,Check-Out
Resort Hotel - Bhopal,UAE,CUST_077,INN00201,18-Aug-24,0,18-Aug-24,0,1,1,0,0,BB,Online TA,0,0,0,A,A,0,1,109.8,0,3,Check-Out
Resort Hotel - Kolkata,India,CUST_370,INN00202,31-Oct-24,8,8-Nov-24,0,4,3,2,0,BB,Online TA,0,0,0,H,H,2,0,193,0,1,Check-Out
Resort Hotel - Chandigarh,UAE,CUST_437,INN00203,3-Apr-24,66,8-Jun-24,0,4,2,0,0,BB,Online TA,0,0,0,D,D,0,0,97,0,2,Check-Out
Resort Hotel - Bhopal,India,CUST_040,INN00204,30-Apr-24,88,27-Jul-24,0,4,3,0,0,HB,Offline TA/TO,0,0,0,D,E,0,0,150,0,1,Check-Out
Resort Hotel - Bangalore,Canada,CUST_059,INN00205,8-Jul-24,0,8-Jul-24,0,4,2,0,0,BB,Direct,0,0,0,A,A,2,1,98,0,0,Check-Out
Resort Hotel - Kochi,USA,CUST_243,INN00206,9-Oct-24,43,21-Nov-24,0,5,2,0,1,HB,Offline TA/TO,0,0,0,A,A,0,3,91.5,0,0,Canceled
Resort Hotel - Jaipur,India,CUST_291,INN00207,29-May-24,88,25-Aug-24,2,5,2,0,1,HB,Online TA,0,0,0,E,E,0,1,139,0,2,Canceled
Resort Hotel - Indore,UAE,CUST_037,INN00208,9-Jan-24,54,3-Mar-24,2,5,2,0,0,BB,Offline TA/TO,0,0,0,D,D,0,0,79.5,0,0,Check-Out
Resort Hotel - Lucknow,India,CUST_031,INN00209,9-Jun-23,292,27-Mar-24,2,5,2,0,1,BB,Offline TA/TO,0,0,0,A,A,0,1,47.25,0,0,Canceled
Resort Hotel - Jaipur,India,CUST_262,INN00210,22-Feb-24,112,13-Jun-24,4,10,2,0,0,HB,Offline TA/TO,0,0,0,D,D,0,2,126.65,0,1,Check-Out
Resort Hotel - Kochi,Canada,CUST_119,INN00211,28-Jun-24,68,4-Sep-24,0,3,2,0,0,BB,Online TA,0,0,0,E,E,0,2,107,0,1,Check-Out
Resort Hotel - Mumbai,India,CUST_422,INN00212,19-Jan-24,7,26-Jan-24,0,4,2,0,0,BB,Online TA,0,0,0,A,A,0,1,131,1,2,Check-Out
Resort Hotel - Kolkata,India,CUST_280,INN00213,31-May-24,1,1-Jun-24,0,4,2,0,0,BB,Online TA,0,0,0,A,A,0,0,131,1,1,Check-Out
Resort Hotel - Bhopal,India,CUST_250,INN00214,29-Jun-24,113,20-Oct-24,0,4,2,0,1,BB,Online TA,0,0,0,A,A,0,1,123,0,1,Canceled
Resort Hotel - Pune,India,CUST_382,INN00215,2-Dec-24,5,7-Dec-24,0,4,2,0,0,BB,Online TA,0,0,0,D,D,0,3,146,0,1,Check-Out
Resort Hotel - Ahmedabad,India,CUST_581,INN00216,14-Mar-24,83,5-Jun-24,0,4,2,0,0,BB,Offline TA/TO,0,0,0,A,A,0,1,110.7,0,1,Check-Out
Resort Hotel - Lucknow,Germany,CUST_025,INN00217,11-Mar-24,105,24-Jun-24,0,4,2,0,1,BB,Online TA,0,0,0,A,A,0,1,73.8,0,1,Canceled
Resort Hotel - Ahmedabad,Germany,CUST_245,INN00218,11-Mar-24,0,11-Mar-24,0,1,1,0,0,BB,Offline TA/TO,0,0,0,A,A,0,1,61,0,0,Check-Out
Resort Hotel - Chandigarh,UAE,CUST_397,INN00219,10-Aug-24,1,11-Aug-24,0,1,2,0,1,BB,Corporate,0,0,0,A,A,0,1,104.72,0,1,Canceled
Resort Hotel - Chandigarh,France,CUST_426,INN00220,17-Sep-24,1,18-Sep-24,0,1,2,0,1,BB,Corporate,0,0,0,A,A,0,1,104.72,0,1,Canceled
Resort Hotel - Delhi,India,CUST_530,INN00221,12-Oct-24,1,13-Oct-24,0,2,2,0,0,BB,Corporate,0,0,0,A,F,0,1,104.72,1,1,Check-Out
Resort Hotel - Chandigarh,India,CUST_052,INN00222,24-Jun-24,102,4-Oct-24,1,4,2,0,1,BB,Direct,0,0,0,A,A,0,1,66.42,0,1,Canceled
Resort Hotel - Kochi,UK,CUST_204,INN00223,14-Dec-23,113,5-Apr-24,2,4,2,0,0,BB,Direct,0,0,0,E,E,1,0,77.96,1,1,Check-Out
Resort Hotel - Chennai,UK,CUST_264,INN00224,28-Apr-23,280,2-Feb-24,2,5,2,1,1,HB,Offline TA/TO,0,0,0,D,D,0,0,112,0,1,Canceled
Resort Hotel - Chandigarh,Germany,CUST_085,INN00225,10-Oct-23,96,14-Jan-24,2,5,2,0,0,BB,Online TA,0,0,0,E,F,0,2,107,0,1,Check-Out
Resort Hotel - Kolkata,Canada,CUST_549,INN00226,21-Dec-22,394,19-Jan-24,2,5,2,0,0,HB,Offline TA/TO,0,0,0,D,D,0,0,89.68,0,0,Check-Out
Resort Hotel - Jaipur,UAE,CUST_317,INN00227,14-Mar-24,33,16-Apr-24,2,5,2,0,0,HB,Online TA,0,0,0,E,E,0,0,155,0,0,Check-Out
Resort Hotel - Goa,USA,CUST_163,INN00228,8-Jun-24,82,29-Aug-24,2,6,3,0,0,BB,Direct,0,0,0,A,A,0,0,112,0,1,Check-Out
Resort Hotel - Chandigarh,India,CUST_141,INN00229,12-Jul-24,100,20-Oct-24,2,7,3,0,0,BB,Online TA,0,0,0,E,E,1,0,130.1,0,3,Check-Out
Resort Hotel - Mumbai,Germany,CUST_345,INN00230,22-Oct-23,100,30-Jan-24,2,7,2,0,0,BB,Online TA,0,0,0,E,E,0,0,100.1,0,2,Check-Out
Resort Hotel - Delhi,UAE,CUST_077,INN00231,12-Nov-24,17,29-Nov-24,0,1,2,2,0,BB,Online TA,0,0,0,C,C,0,1,123,0,3,Check-Out
Resort Hotel - Pune,France,CUST_056,INN00232,30-Jan-24,68,7-Apr-24,0,2,3,0,0,BB,Direct,0,0,0,A,C,0,2,124,1,1,Check-Out
Resort Hotel - Mumbai,UAE,CUST_107,INN00233,3-Nov-24,12,15-Nov-24,0,2,2,2,0,BB,Direct,0,0,0,H,G,2,1,146,1,0,Check-Out
Resort Hotel - Hyderabad,France,CUST_356,INN00234,31-Aug-24,77,16-Nov-24,0,3,2,0,1,BB,Direct,0,0,0,D,D,0,1,97,0,0,Canceled
Resort Hotel - Kolkata,USA,CUST_103,INN00235,26-May-24,24,19-Jun-24,0,3,2,2,1,BB,Online TA,0,0,0,C,C,0,1,123,0,1,Canceled
Resort Hotel - Goa,France,CUST_576,INN00236,18-Jun-24,44,1-Aug-24,0,3,2,2,1,BB,Online TA,0,0,0,G,G,0,1,153,0,0,Canceled
Resort Hotel - Bangalore,Germany,CUST_185,INN00237,9-Jan-24,78,27-Mar-24,0,3,2,1,0,BB,Online TA,0,0,0,A,A,0,0,82,0,2,Check-Out
Resort Hotel - Chandigarh,France,CUST_266,INN00238,21-May-24,17,7-Jun-24,1,3,2,0,1,BB,Online TA,0,0,0,A,A,0,0,105.08,0,0,Canceled
Resort Hotel - Chennai,USA,CUST_503,INN00239,29-Jul-24,103,9-Nov-24,1,3,2,0,1,BB,Online TA,0,0,0,A,A,0,1,65.42,0,0,Canceled
Resort Hotel - Bangalore,India,CUST_461,INN00240,18-Aug-24,16,3-Sep-24,1,3,1,0,0,BB,Direct,0,0,0,A,A,0,1,98,0,1,Check-Out
Resort Hotel - Bangalore,India,CUST_051,INN00241,23-Oct-24,14,6-Nov-24,2,3,2,0,0,BB,Online TA,0,0,0,A,A,0,1,75.46,1,1,Check-Out
Resort Hotel - Bangalore,Canada,CUST_359,INN00242,8-Nov-23,77,24-Jan-24,2,3,2,0,0,BB,Offline TA/TO,0,0,0,A,A,0,2,65.5,0,0,Check-Out
Resort Hotel - Chandigarh,Australia,CUST_318,INN00243,24-Aug-24,90,22-Nov-24,2,5,2,0,0,BB,Offline TA/TO,0,0,0,A,D,0,0,90.95,0,0,Check-Out
Resort Hotel - Chandigarh,UK,CUST_464,INN00244,17-Feb-24,90,17-May-24,2,5,2,0,0,BB,Offline TA/TO,0,0,0,A,A,0,0,93.6,0,0,Check-Out
Resort Hotel - Mumbai,India,CUST_352,INN00245,11-Mar-24,90,9-Jun-24,2,5,2,0,0,BB,Offline TA/TO,0,0,0,E,E,0,1,119.25,0,0,Check-Out
Resort Hotel - Bhopal,India,CUST_570,INN00246,24-Nov-23,366,24-Nov-24,2,5,2,0,0,HB,Offline TA/TO,0,0,0,E,E,0,1,134.73,0,0,Check-Out
Resort Hotel - Bangalore,India,CUST_130,INN00247,29-Jun-23,249,4-Mar-24,2,5,2,0,0,HB,Online TA,0,0,0,A,A,0,1,112,0,1,Check-Out
Resort Hotel - Lucknow,UK,CUST_074,INN00248,10-Nov-23,69,18-Jan-24,2,6,2,0,1,HB,Online TA,0,0,0,A,A,0,0,118.13,0,2,Canceled
Resort Hotel - Chandigarh,India,CUST_400,INN00249,21-Oct-24,10,31-Oct-24,0,1,2,0,0,BB,Direct,0,0,0,A,A,0,1,131,0,0,Check-Out
Resort Hotel - Hyderabad,UAE,CUST_407,INN00250,20-Aug-24,22,11-Sep-24,0,2,2,0,0,BB,Online TA,0,0,0,A,A,0,0,88.2,0,0,Check-Out
Resort Hotel - Bhopal,France,CUST_136,INN00251,14-Mar-24,91,13-Jun-24,0,2,2,0,0,BB,Online TA,0,0,0,A,A,0,1,73.8,0,1,Check-Out
Resort Hotel - Bhopal,India,CUST_400,INN00252,15-Mar-24,23,7-Apr-24,0,2,2,0,0,BB,Online TA,0,0,0,A,A,0,1,98,0,0,Check-Out
Resort Hotel - Mumbai,UAE,CUST_477,INN00253,9-Feb-24,11,20-Feb-24,0,2,2,0,0,BB,Online TA,0,0,0,A,A,0,0,110.5,0,1,Check-Out
Resort Hotel - Kochi,India,CUST_130,INN00254,4-Apr-24,3,7-Apr-24,0,2,2,0,0,BB,Online TA,0,0,0,A,A,0,1,131,0,1,Check-Out
Resort Hotel - Jaipur,UAE,CUST_537,INN00255,5-Nov-24,13,18-Nov-24,0,2,2,1,0,HB,Online TA,0,0,0,G,G,2,1,185,1,1,Check-Out
Resort Hotel - Goa,India,CUST_291,INN00256,13-Jun-24,108,29-Sep-24,0,2,2,0,0,BB,Online TA,0,0,0,D,D,1,1,87.3,0,2,Check-Out
Resort Hotel - Kolkata,India,CUST_010,INN00257,2-Feb-24,91,3-May-24,0,2,2,0,0,BB,Online TA,0,0,0,A,A,0,2,73.8,0,1,Check-Out
Resort Hotel - Jaipur,Australia,CUST_128,INN00258,18-Aug-24,37,24-Sep-24,1,2,2,0,0,BB,Online TA,0,0,0,C,C,0,1,120,0,1,Check-Out
Resort Hotel - Chennai,Canada,CUST_299,INN00259,17-Feb-24,21,9-Mar-24,1,2,2,0,0,BB,Direct,0,0,0,A,C,0,1,98,0,1,Check-Out
Resort Hotel - Pune,UAE,CUST_107,INN00260,10-Dec-23,106,25-Mar-24,1,2,2,0,0,BB,Online TA,0,0,0,E,E,0,1,96.3,0,2,Check-Out
Resort Hotel - Indore,France,CUST_326,INN00261,13-Jun-24,30,13-Jul-24,2,2,2,0,0,FB,Direct,0,0,0,F,F,0,2,197,0,1,Check-Out
Resort Hotel - Delhi,Australia,CUST_268,INN00262,3-Aug-24,30,2-Sep-24,2,2,2,0,0,FB,Direct,0,0,0,F,F,0,0,197,0,1,Check-Out
Resort Hotel - Lucknow,India,CUST_082,INN00263,9-Sep-24,51,30-Oct-24,2,3,2,0,1,BB,Online TA,0,0,0,E,E,0,0,123,0,0,Canceled
Resort Hotel - Goa,Germany,CUST_455,INN00264,3-Sep-24,79,21-Nov-24,2,3,2,0,0,BB,Online TA,0,0,0,A,A,0,1,82,0,2,Check-Out
Resort Hotel - Lucknow,USA,CUST_013,INN00265,28-Nov-24,21,19-Dec-24,2,3,2,2,0,HB,Direct,0,0,0,C,C,1,1,165,1,3,Check-Out
Resort Hotel - Indore,France,CUST_306,INN00266,10-May-24,35,14-Jun-24,2,3,2,2,0,BB,Online TA,0,0,0,G,G,0,1,149.4,0,0,Check-Out
Resort Hotel - Delhi,India,CUST_250,INN00267,24-Jun-24,78,10-Sep-24,2,5,2,0,0,HB,Online TA,0,0,0,A,A,1,1,106.84,1,2,Check-Out
Resort Hotel - Indore,France,CUST_066,INN00268,12-Jan-24,31,12-Feb-24,2,5,2,0,0,HB,Direct,0,0,0,D,D,1,1,161,1,1,Check-Out
Resort Hotel - Bangalore,France,CUST_366,INN00269,19-May-24,78,5-Aug-24,2,5,2,0,0,HB,Online TA,0,0,0,D,D,1,1,134.43,0,2,Check-Out
Resort Hotel - Jaipur,UAE,CUST_427,INN00270,11-Apr-24,78,28-Jun-24,2,5,2,0,0,HB,Online TA,0,0,0,E,E,1,1,144.43,1,2,Check-Out
Resort Hotel - Lucknow,India,CUST_581,INN00271,5-May-24,44,18-Jun-24,2,5,1,0,0,HB,Offline TA/TO,0,0,0,E,E,2,1,152,0,0,Check-Out
Resort Hotel - Jaipur,UAE,CUST_237,INN00272,28-May-24,34,1-Jul-24,2,5,2,1,0,HB,Online TA,0,0,0,F,F,0,0,125.54,0,3,Check-Out
Resort Hotel - Pune,Australia,CUST_378,INN00273,7-May-24,87,2-Aug-24,2,5,2,2,0,FB,Offline TA/TO,0,0,0,C,C,0,4,133.83,0,2,Check-Out
Resort Hotel - Ahmedabad,India,CUST_600,INN00274,4-Sep-24,11,15-Sep-24,2,6,3,1,0,BB,Direct,0,0,0,C,C,0,1,159.75,1,0,Check-Out
Resort Hotel - Kochi,UK,CUST_094,INN00275,23-Jun-24,115,16-Oct-24,2,7,2,0,0,BB,Online TA,0,0,0,A,A,0,0,120.6,0,2,Check-Out
Resort Hotel - Chandigarh,India,CUST_232,INN00276,12-Feb-24,86,8-May-24,3,7,2,0,0,BB,Online TA,0,0,0,D,D,0,1,112.2,0,0,Check-Out
Resort Hotel - Kolkata,India,CUST_412,INN00277,7-Aug-24,41,17-Sep-24,4,7,2,1,0,BB,Online TA,0,0,0,F,F,0,0,110.6,0,0,Check-Out
Resort Hotel - Lucknow,UK,CUST_004,INN00278,24-Apr-24,32,26-May-24,4,9,2,0,0,BB,Online TA,0,0,0,C,C,0,1,105.9,0,0,Check-Out
Resort Hotel - Goa,India,CUST_352,INN00279,20-Jun-24,34,24-Jul-24,2,5,2,1,0,HB,Online TA,0,0,0,D,D,0,1,95.27,0,3,Check-Out
Resort Hotel - Pune,Germany,CUST_455,INN00280,19-Oct-24,34,22-Nov-24,2,5,2,0,0,HB,Online TA,0,0,0,F,F,0,1,108.83,0,1,Check-Out
Resort Hotel - Delhi,Australia,CUST_508,INN00281,2-Jul-24,100,10-Oct-24,2,3,2,1,1,HB,Offline TA/TO,0,0,0,A,A,0,2,153.96,0,0,Canceled
Resort Hotel - Kolkata,Germany,CUST_085,INN00282,10-Apr-24,44,24-May-24,2,3,2,0,0,BB,Online TA,0,0,0,A,A,0,2,120.6,0,0,Check-Out
Resort Hotel - Kolkata,Germany,CUST_195,INN00283,24-Jul-23,304,23-May-24,2,4,2,1,0,BB,Direct,0,0,0,A,A,1,0,90.67,0,1,Check-Out
Resort Hotel - Delhi,Germany,CUST_315,INN00284,10-Apr-24,36,16-May-24,2,4,2,0,1,BB,Online TA,0,0,0,E,E,0,2,126.67,0,0,Canceled
Resort Hotel - Delhi,India,CUST_401,INN00285,12-Aug-24,117,7-Dec-24,2,4,3,0,0,HB,Offline TA/TO,0,0,0,D,D,0,0,144.4,0,1,Check-Out
Resort Hotel - Pune,Australia,CUST_328,INN00286,28-Nov-23,70,6-Feb-24,2,4,2,0,0,BB,Online TA,0,0,0,A,A,0,1,99.5,1,2,Check-Out
Resort Hotel - Delhi,India,CUST_101,INN00287,19-Dec-23,110,7-Apr-24,2,5,2,0,0,BB,Direct,0,0,0,E,E,0,2,139.4,0,1,Check-Out
Resort Hotel - Bhopal,Canada,CUST_219,INN00288,28-Jul-24,109,14-Nov-24,2,5,2,0,1,BB,Online TA,0,0,0,A,A,0,0,73.8,0,1,Canceled
Resort Hotel - Ahmedabad,India,CUST_380,INN00289,26-Jul-24,33,28-Aug-24,2,2,2,0,0,BB,Online TA,0,0,0,E,E,0,1,89.97,0,1,Check-Out
Resort Hotel - Ahmedabad,India,CUST_101,INN00290,28-May-24,33,30-Jun-24,2,2,2,0,0,BB,Online TA,0,0,0,E,E,0,2,123,0,0,Check-Out
Resort Hotel - Goa,India,CUST_351,INN00291,19-Feb-24,33,23-Mar-24,2,2,2,0,0,BB,Online TA,0,0,0,E,E,1,0,123,0,0,Check-Out
Resort Hotel - Kolkata,UK,CUST_224,INN00292,25-Apr-24,0,25-Apr-24,0,1,1,0,0,BB,Direct,0,0,0,A,A,0,1,123,0,0,Check-Out
Resort Hotel - Hyderabad,Australia,CUST_468,INN00293,20-Sep-24,0,20-Sep-24,0,1,2,0,0,HB,Online TA,0,0,0,A,A,1,1,144.9,0,1,Check-Out
Resort Hotel - Delhi,USA,CUST_323,INN00294,4-Mar-24,0,4-Mar-24,0,1,2,0,0,BB,Direct,0,0,0,G,G,0,0,153,0,0,Check-Out
Resort Hotel - Hyderabad,India,CUST_272,INN00295,14-Aug-24,0,14-Aug-24,0,1,2,0,0,BB,Online TA,0,0,0,A,A,0,0,131,0,1,Check-Out
Resort Hotel - Jaipur,Canada,CUST_499,INN00296,5-Aug-24,84,28-Oct-24,1,1,2,0,0,HB,Corporate,0,0,0,A,A,0,0,100,1,0,Check-Out
Resort Hotel - Ahmedabad,Canada,CUST_099,INN00297,24-Nov-23,71,3-Feb-24,1,1,2,0,0,BB,Offline TA/TO,0,0,0,A,A,0,1,65.5,0,0,Check-Out
Resort Hotel - Mumbai,Australia,CUST_598,INN00298,5-Feb-24,16,21-Feb-24,1,1,2,0,0,BB,Online TA,0,0,0,C,C,0,1,123,0,1,Check-Out
Resort Hotel - Ahmedabad,France,CUST_066,INN00299,14-Dec-23,54,6-Feb-24,2,1,2,0,0,BB,Online TA,0,0,0,E,F,0,1,123,0,0,Check-Out
Resort Hotel - Chennai,UK,CUST_004,INN00300,8-Mar-24,8,16-Mar-24,2,1,2,0,0,BB,Online TA,0,0,0,A,A,0,1,131,0,0,Check-Out
Resort Hotel - Kochi,India,CUST_072,INN00301,8-Oct-24,36,13-Nov-24,2,5,2,0,0,BB,Offline TA/TO,0,0,0,D,D,0,2,104.68,1,0,Check-Out
